Date,Open,High,Low,Close,Adj Close,Volume
2020-01-07,6800.000000,6825.000000,6675.000000,6775.000000,5062.239258,27963000
2020-01-08,6700.000000,6825.000000,6700.000000,6775.000000,5062.239258,15150400
2020-01-09,6800.000000,6875.000000,6750.000000,6875.000000,5136.958008,19691200
2020-01-10,6900.000000,6925.000000,6825.000000,6825.000000,5099.598145,17687600
2020-01-13,6850.000000,6925.000000,6825.000000,6925.000000,5174.317871,29585200
2020-01-14,6975.000000,7175.000000,6925.000000,7175.000000,5361.116211,41214400
2020-01-15,7150.000000,7250.000000,7025.000000,7200.000000,5379.794922,38535100
2020-01-16,7125.000000,7200.000000,7075.000000,7125.000000,5323.757324,38504400
2020-01-17,7075.000000,7150.000000,7000.000000,7075.000000,5286.396484,26714800
2020-01-20,7100.000000,7125.000000,6975.000000,7000.000000,5230.357422,22389100
2020-01-21,7025.000000,7025.000000,6925.000000,7025.000000,5249.037598,12520300
2020-01-22,7025.000000,7075.000000,6975.000000,7000.000000,5230.357422,20100300
2020-01-23,7050.000000,7100.000000,7000.000000,7050.000000,5267.716309,18020200
2020-01-24,7000.000000,7050.000000,6975.000000,6975.000000,5211.677734,13710000
2020-01-27,6975.000000,6975.000000,6700.000000,6725.000000,5024.878906,17470800
2020-01-28,6675.000000,6825.000000,6650.000000,6825.000000,5099.598145,23466100
2020-01-29,6850.000000,6850.000000,6750.000000,6825.000000,5099.598145,12646100
2020-01-30,6775.000000,6800.000000,6625.000000,6625.000000,4950.160156,25324800
2020-01-31,6650.000000,6675.000000,6350.000000,6350.000000,4744.680664,66460400
2020-02-03,6275.000000,6425.000000,6250.000000,6275.000000,4688.641602,34538400
2020-02-04,6350.000000,6450.000000,6300.000000,6400.000000,4782.041016,46272800
2020-02-05,6450.000000,6500.000000,6300.000000,6400.000000,4782.041016,32227100
2020-02-06,6500.000000,6525.000000,6425.000000,6500.000000,4856.759766,26015800
2020-02-07,6550.000000,6550.000000,6400.000000,6400.000000,4782.041016,13918700
2020-02-10,6400.000000,6400.000000,6175.000000,6200.000000,4632.602539,45366900
2020-02-11,6300.000000,6300.000000,6050.000000,6100.000000,4557.882813,54325000
2020-02-12,6075.000000,6100.000000,5925.000000,5975.000000,4464.482910,51100700
2020-02-13,5975.000000,6025.000000,5925.000000,5950.000000,4445.804199,33021700
2020-02-14,5975.000000,6100.000000,5925.000000,6100.000000,4557.882813,60901000
2020-02-17,6150.000000,6175.000000,6050.000000,6100.000000,4557.882813,16567600
2020-02-18,6050.000000,6200.000000,6050.000000,6100.000000,4557.882813,27960300
2020-02-19,6175.000000,6250.000000,6150.000000,6250.000000,4669.961914,35186100
2020-02-20,6275.000000,6275.000000,6125.000000,6275.000000,4688.641602,37995400
2020-02-21,6275.000000,6300.000000,6150.000000,6200.000000,4632.602539,33804700
2020-02-24,6050.000000,6150.000000,6025.000000,6100.000000,4557.882813,34190600
2020-02-25,6000.000000,6275.000000,5975.000000,6225.000000,4651.281250,40723200
2020-02-26,6100.000000,6150.000000,6050.000000,6050.000000,4520.522949,34453700
2020-02-27,6100.000000,6100.000000,5950.000000,5950.000000,4445.804199,44801100
2020-02-28,5850.000000,5850.000000,5525.000000,5525.000000,4128.246094,100693900
2020-03-02,5700.000000,5850.000000,5625.000000,5700.000000,4259.005371,63765800
2020-03-03,5850.000000,5975.000000,5775.000000,5900.000000,4408.444824,53817300
2020-03-04,5900.000000,6025.000000,5875.000000,5975.000000,4464.482910,43566600
2020-03-05,6025.000000,6050.000000,5875.000000,6050.000000,4520.522949,40537300
2020-03-06,5950.000000,5950.000000,5675.000000,5675.000000,4240.325195,31282500
2020-03-09,5500.000000,5500.000000,5025.000000,5025.000000,3754.650146,87904100
2020-03-10,5100.000000,5325.000000,5100.000000,5150.000000,3848.048584,86444600
2020-03-11,5150.000000,5175.000000,5050.000000,5125.000000,3829.368652,45134700
2020-03-12,5000.000000,5025.000000,4820.000000,4910.000000,3668.722168,64824200
2020-03-13,4910.000000,4910.000000,4910.000000,4910.000000,3668.722168,0
2020-03-16,4770.000000,4770.000000,4530.000000,4590.000000,3429.620117,55655900
2020-03-17,4590.000000,4600.000000,4270.000000,4270.000000,3190.518066,67166600
2020-03-18,4290.000000,4350.000000,3980.000000,4150.000000,3100.854736,61972000
2020-03-19,4020.000000,4020.000000,3860.000000,3860.000000,2884.168457,27066700
2020-03-20,3890.000000,3900.000000,3590.000000,3780.000000,2824.392822,141147800
2020-03-23,3780.000000,3780.000000,3520.000000,3520.000000,2630.122314,40318500
2020-03-24,3570.000000,3610.000000,3280.000000,3280.000000,2450.795898,89502100
2020-03-26,3220.000000,3680.000000,3220.000000,3620.000000,2704.841797,180290700
2020-03-27,3650.000000,4360.000000,3650.000000,4080.000000,3048.551270,150312000
2020-03-30,4080.000000,4080.000000,3800.000000,3800.000000,2839.336914,45490800
2020-03-31,3880.000000,3980.000000,3740.000000,3900.000000,2914.056152,62534800
2020-04-01,3880.000000,4090.000000,3650.000000,3770.000000,2816.921143,78042900
2020-04-02,3670.000000,3930.000000,3580.000000,3930.000000,2936.472168,39717300
2020-04-03,3990.000000,4050.000000,3860.000000,3900.000000,2914.056152,42577100
2020-04-06,3920.000000,4040.000000,3880.000000,4030.000000,3011.191406,71205800
2020-04-07,4060.000000,4250.000000,3960.000000,4060.000000,3033.607178,79018000
2020-04-08,4000.000000,4030.000000,3810.000000,3850.000000,2876.696777,55980400
2020-04-09,3870.000000,4120.000000,3870.000000,4090.000000,3056.022949,53526100
2020-04-13,4090.000000,4150.000000,3920.000000,3960.000000,2958.887695,27520900
2020-04-14,3960.000000,4030.000000,3920.000000,3960.000000,2958.887695,64571400
2020-04-15,4000.000000,4000.000000,3800.000000,3820.000000,2854.280762,86149800
2020-04-16,3780.000000,3780.000000,3620.000000,3620.000000,2704.841797,61494300
2020-04-17,3680.000000,3840.000000,3680.000000,3800.000000,2839.336914,78593000
2020-04-20,3800.000000,3830.000000,3710.000000,3720.000000,2779.561523,50406600
